 "ticks" "who" "xcor" "ycor"
 28 4574 0 -3
 28 4544 2 0
 28 4554 -8 -7
 28 4552 -8 -7
 28 4570 -8 -2
 28 4555 -9 -3
 28 4546 -8 -7
 28 4547 -7 -11
 28 4564 -8 -7
 28 4545 -8 -7
 28 4548 -7 -17
 28 4562 -9 -3
 29 4566 -9 -3
 29 4562 -9 -3
 29 4552 -8 -7
 29 4546 -8 -7
 29 4556 -8 -7
 29 4572 -7 -20
 29 4553 -8 -2
 29 4558 -8 -7
 29 4551 -4 -4
 29 4571 -8 -2
 29 4548 -7 -17
 29 4557 -7 -14
 29 4555 -9 -3
 29 4567 -9 -3
 29 4565 -5 -21
 29 4554 -8 -7
 29 4564 -8 -7
 29 4573 -9 -3
 29 4560 -9 -3
 29 4569 -8 -7
 29 4550 -7 -17
 29 4559 -1 -3
 29 4570 -8 -2
 29 4547 -8 -12
 29 4544 2 0
 29 4568 -7 -17
 29 4575 -8 -7
 29 4549 2 0
 29 4541 -8 -7
 29 4561 -8 -7
 29 4563 3 -10
 29 4574 0 -3
 29 4542 -8 -2
 29 4543 -8 -2
 29 4545 -8 -7
 30 4573 -9 -3
 30 4551 -4 -4
 30 4550 -7 -17
 30 4569 -8 -7
 30 4563 3 -10
 30 4556 -8 -7
 30 4575 -8 -7
 30 4549 2 0
 30 4557 -7 -14
 30 4559 -1 -3
 30 4566 -9 -3
 30 4562 -9 -3
 30 4553 -8 -2
 30 4565 -6 -22
 30 4560 -9 -3
 30 4547 -8 -12
 30 4558 -8 -7
 30 4548 -7 -17
 30 4568 -7 -17
 30 4544 2 0
 30 4546 -8 -7
 30 4545 -8 -7
 30 4571 -8 -2
 30 4570 -8 -2
 30 4555 -9 -3
 30 4561 -8 -7
 30 4554 -8 -7
 30 4543 -8 -2
 30 4574 0 -3
 30 4567 -9 -3
 30 4541 -8 -7
 30 4572 -7 -20
 30 4542 -8 -2
 30 4564 -8 -7
 30 4552 -8 -7
 31 4575 -8 -7
 31 4550 -7 -17
 31 4546 -8 -7
 31 4542 -8 -2
 31 4541 -8 -7
 31 4554 -8 -7
 31 4568 -7 -17
 31 4566 -9 -3
 31 4553 -8 -2
 31 4569 -8 -7
 31 4563 3 -10
 31 4552 -8 -7
 31 4543 -8 -2
 31 4558 -8 -7
 31 4562 -9 -3
 31 4572 -7 -20
 31 4547 -8 -12
 31 4549 2 0
 31 4557 -7 -14
 31 4567 -9 -3
 31 4573 -9 -3
 31 4545 -8 -7
 31 4551 -4 -4
 31 4574 0 -3
 31 4556 -8 -7
 31 4560 -9 -3
 31 4570 -8 -2
 31 4561 -8 -7
 31 4559 -1 -3
 31 4544 2 0
 31 4548 -7 -17
 31 4564 -8 -7
 31 4565 -7 -22
 31 4571 -8 -2
 31 4555 -9 -3
 32 4544 2 0
 32 4553 -8 -2
 32 4568 -7 -17
 32 4542 -8 -2
 32 4557 -7 -14
 32 4554 -8 -7
 32 4558 -8 -7
 32 4545 -8 -7
 32 4552 -8 -7
 32 4563 3 -10
 32 4543 -8 -2
 32 4549 2 0
 32 4560 -9 -3
 32 4547 -8 -12
 32 4548 -7 -17
 32 4569 -8 -7
 32 4575 -8 -7
 32 4562 -9 -3
 32 4571 -8 -2
 32 4541 -8 -7
 32 4555 -9 -3
 32 4570 -8 -2
 32 4567 -9 -3
 32 4551 -4 -4
 32 4573 -9 -3
 32 4564 -8 -7
 32 4559 -1 -3
 32 4556 -8 -7
 32 4546 -8 -7
 32 4574 0 -3
 32 4566 -9 -3
 32 4550 -7 -17
 32 4565 -7 -22
 32 4572 -7 -20
 32 4561 -8 -7
 33 4571 -8 -2
 33 4559 -1 -3
 33 4568 -7 -17
 33 4549 2 0
 33 4569 -8 -7
 33 4567 -9 -3
 33 4555 -9 -3
 33 4570 -8 -2
 33 4558 -8 -7
 33 4562 -9 -3
 33 4544 2 0
 33 4547 -8 -12
 33 4552 -8 -7
 33 4563 3 -10
 33 4554 -8 -7
 33 4560 -9 -3
 33 4572 -7 -20
 33 4566 -9 -3
 33 4573 -9 -3
 33 4548 -7 -17
 33 4543 -8 -2
 33 4574 0 -3
 33 4541 -8 -7
 33 4565 -7 -22
 33 4553 -8 -2
 33 4551 -4 -4
 33 4545 -8 -7
 33 4550 -7 -17
 33 4575 -8 -7
 33 4546 -8 -7
 33 4557 -7 -14
 33 4556 -8 -7
 33 4561 -8 -7
 33 4564 -8 -7
 33 4542 -8 -2
 34 4570 -8 -2
 34 4541 -8 -7
